DS Onderdelen>Chassis;CATEGORY;;;;;
Kabel koplamp lang;;;;324110;;10
Haakje koplampbediening;;;;324111;;18
Koplamp hoogtebediening : hevellager;;;;324112;;9
Koplamp hoogtebediening : borgklem;;;;324113;;3
Koplamp hoogtebediening : afstandsring;;;;324114;;5
Veer koplampbevestiging, 90 wikkelingen;;;;324115;;14
Veer koplamphoogtebediening;;;;324116;;9
Veer meesturende koplampen, 38 wikkelingen;;;;324117;;13
Lichtschakelaar deurstijl;;;;324118;;16
Set Pallas verstralers oud type, bolvormig;;;;324119;;550
Pinkerrelais met 3 aansluitingen;Leverbaar ??;;;324120;;15
Voorpinker INOX links;DX575010V;DX575010W;;324121;;90
Voorpinker INOX rechts;DX575010V;DX575010W;;324122;;90
Mousse richtingaanwijzer links voor;;;;324123;;3
Mousse richtingaanwijzer rechts voor;;;;324124;;3
Clipmoer pinker;;;;324125;;1,5
Parker pinker;;;;324126;;1,5
Pinker achter compleet;;;;324127;;36
Pinkerhouder achteraan;;;;324128;;16
Behuizing achterpinker;;;;324129;;26
Achterknipperlicht bevestiging berline links;;;;324130;;6
Achterknipperlicht bevestiging berline rechts;;;;324131;;6
Zwaluwrubbertje achterpinker;;;;324132;;2,5
Glaasje achterpinker;;;;324133;;13
Rubber dop achterpinker;;;;324134;;8
Veertje achterpinker;;;;324135;;8
Achterlicht Pallas nieuw type links;DX544129A;DX544130A;;324136;;125
Achterlicht Pallas nieuw type rechts;DX544129A;DX544130A;;324137;;125
Achterlichtkap Pallas nieuw type, per  set;;;;324138;;205
Achterlichtkap Pallas oud type (oranje), per set;;;;324139;;205
Achterlichtkap Pallas oud type (rood), per set;;;;324140;;205
Rubber afdichting OT achterlicht;;;;324141;;10
Achterlichtkapje Break rood;;;;324142;;12
Achterlichtkapje Break oranje;;;;324143;;12
Achterlichtkapje Break wit ;;;;324144;;12
Lichtschakelaar;;;;324145;;120
